date,fjoldi,eigandi,tegund,value
2003,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,10924
2004,Sem eiga eina íbúð,Einstaklingar,hlutf,72.6
2004,Sem eiga eina íbúð,Lögaðilar,hlutf,1.1
2004,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,16.2
2004,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,10.1
2004,Sem eiga eina íbúð,Einstaklingar,fjoldi,81491
2004,Sem eiga eina íbúð,Lögaðilar,fjoldi,1221
2004,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,18142
2004,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,11343
2005,Sem eiga eina íbúð,Einstaklingar,hlutf,71.6
2005,Sem eiga eina íbúð,Lögaðilar,hlutf,1.2
2005,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,17.2
2005,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,10.1
2005,Sem eiga eina íbúð,Einstaklingar,fjoldi,82557
2005,Sem eiga eina íbúð,Lögaðilar,fjoldi,1357
2005,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,19776
2005,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,11617
2006,Sem eiga eina íbúð,Einstaklingar,hlutf,70.2
2006,Sem eiga eina íbúð,Lögaðilar,hlutf,1.3
2006,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,17.9
2006,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,10.6
2006,Sem eiga eina íbúð,Einstaklingar,fjoldi,83052
2006,Sem eiga eina íbúð,Lögaðilar,fjoldi,1507
2006,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,21162
2006,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,12503
2007,Sem eiga eina íbúð,Einstaklingar,hlutf,68.4
2007,Sem eiga eina íbúð,Lögaðilar,hlutf,1.4
2007,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,17.9
2007,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,12.3
2007,Sem eiga eina íbúð,Einstaklingar,fjoldi,84295
2007,Sem eiga eina íbúð,Lögaðilar,fjoldi,1667
2007,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,22103
2007,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,15152
2008,Sem eiga eina íbúð,Einstaklingar,hlutf,67
2008,Sem eiga eina íbúð,Lögaðilar,hlutf,1.4
2008,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,18.4
2008,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,13.3
2008,Sem eiga eina íbúð,Einstaklingar,fjoldi,84433
2008,Sem eiga eina íbúð,Lögaðilar,fjoldi,1749
2008,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,23160
2008,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,16744
2009,Sem eiga eina íbúð,Einstaklingar,hlutf,66
2009,Sem eiga eina íbúð,Lögaðilar,hlutf,1.4
2009,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,19
2009,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,13.5
2009,Sem eiga eina íbúð,Einstaklingar,fjoldi,83764
2009,Sem eiga eina íbúð,Lögaðilar,fjoldi,1822
2009,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,24173
2009,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,17141
2010,Sem eiga eina íbúð,Einstaklingar,hlutf,64.3
2010,Sem eiga eina íbúð,Lögaðilar,hlutf,1.4
